"spkid","full_name","diameter","e","a","i","om","w","ma","n","sigma_e","sigma_a","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_n","H","H_sigma","moid"
20000001,"     1 Ceres (A801 AA)",939.4,0.0796,2.766,10.59,80.25,73.30,231.54,0.2143,4.8e-12,1.0e-11,4.6e-09,6.2e-08,6.6e-08,6.2e-09,1.2e-12,3.34,,1.58
20000002,"     2 Pallas (A802 FA)",513,0.2306,2.77,34.93,172.89,310.93,211.53,0.2138,5.8e-09,1.8e-09,6.9e-07,1.3e-06,2.4e-06,2.5e-06,2.0e-10,4.11,,1.23
20000003,"     3 Juno (A804 RA)",246.596,0.2558,2.671,12.99,169.82,247.88,217.59,0.2258,4.4e-09,1.5e-09,3.7e-07,2.1e-06,2.2e-06,8.0e-07,1.9e-10,5.19,,1.04
20000004,"     4 Vesta (A807 FA)",522.77,0.0902,2.362,7.14,103.70,151.54,26.81,0.2716,2.3e-10,1.5e-09,2.2e-07,3.9e-07,1.9e-07,1.8e-06,2.6e-10,3.25,,1.13
20000005,"     5 Astraea (A845 XA)",106.699,0.1875,2.577,5.36,141.45,359.35,133.87,0.2383,2.0e-09,1.3e-09,1.9e-07,2.1e-06,2.2e-06,8.6e-07,1.9e-10,6.99,,1.11
20000006,"     6 Hebe (A847 NA)",185.18,0.2022,2.425,14.74,138.61,239.70,352.56,0.2609,4.3e-09,1.2e-09,5.0e-07,2.0e-06,2.5e-06,2.0e-06,1.9e-10,5.61,,0.976
20000007,"     7 Iris (A847 PA)",199.83,0.2302,2.387,5.52,259.49,145.48,61.73,0.2673,3.6e-09,9.9e-10,3.5e-07,2.6e-06,2.7e-06,9.6e-07,1.7e-10,5.67,,0.849
20000008,"     8 Flora (A847 UA)",147.491,0.1563,2.201,5.89,110.84,285.43,198.90,0.3018,4.6e-09,1.1e-09,3.9e-07,3.5e-06,4.0e-06,2.5e-06,2.3e-10,6.61,,0.874
20000009,"     9 Metis (A848 HA)",190,0.1226,2.387,5.58,68.87,5.90,199.20,0.2673,3.1e-09,1.1e-09,3.1e-07,3.4e-06,3.7e-06,1.7e-06,1.9e-10,6.34,,1.11
20000010,"    10 Hygiea (A849 GA)",407.12,0.1082,3.148,3.83,283.12,312.61,216.69,0.1765,4.3e-09,2.4e-09,3.8e-07,5.3e-06,5.6e-06,2.1e-06,2.0e-10,5.65,,1.8
20000011,"    11 Parthenope (A850 JA)",142.887,0.1005,2.453,4.64,125.47,196.42,173.66,0.2565,2.6e-09,1.2e-09,2.7e-07,4.7e-06,5.1e-06,2.2e-06,1.9e-10,6.73,,1.19
20000012,"    12 Victoria (A850 RA)",115.087,0.2199,2.334,8.37,235.35,69.55,76.94,0.2764,2.4e-09,1.1e-09,2.3e-07,1.8e-06,1.9e-06,1.2e-06,2.0e-10,7.29,,0.824
20000013,"    13 Egeria (A850 VA)",202.636,0.0847,2.576,16.53,43.18,79.06,40.99,0.2384,3.8e-09,1.9e-09,3.1e-07,1.2e-06,2.5e-06,2.6e-06,2.6e-10,6.91,,1.44
20000014,"    14 Irene (A851 KA)",152,0.1627,2.588,9.13,86.01,98.27,12.93,0.2367,3.7e-09,1.6e-09,2.9e-07,2.4e-06,2.6e-06,1.3e-06,2.2e-10,6.54,,1.19
20000015,"    15 Eunomia (A851 OA)",231.689,0.1878,2.642,11.76,292.88,98.51,113.73,0.2295,4.3e-09,1.5e-09,3.7e-07,2.2e-06,2.5e-06,1.7e-06,2.0e-10,5.42,,1.19
20000016,"    16 Psyche (A852 FA)",222,0.1343,2.923,3.10,150.01,229.75,40.64,0.1972,3.0e-09,2.9e-09,3.0e-07,6.1e-06,6.2e-06,1.8e-06,2.9e-10,6.20,,1.53
20000017,"    17 Thetis (A852 HA)",84.899,0.1313,2.473,5.59,125.50,135.95,192.66,0.2535,2.2e-09,1.3e-09,2.1e-07,2.1e-06,2.4e-06,1.4e-06,2.0e-10,7.92,,1.14
20000018,"    18 Melpomene (A852 MA)",139.594,0.2180,2.296,10.13,150.33,228.05,227.26,0.2834,2.9e-09,1.1e-09,2.7e-07,1.9e-06,2.0e-06,1.1e-06,2.0e-10,6.35,,0.812
20000019,"    19 Fortuna (A852 QA)",200,0.1580,2.442,1.57,211.00,182.52,96.50,0.2583,2.9e-09,1.3e-09,2.9e-07,7.9e-06,8.0e-06,1.6e-06,2.0e-10,7.49,,1.06
